,,,,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,
,,,,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,10002,10002,10002,10002,10002,10002,10002,10002,10002,10002,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003,10002,10002,10002,10002,10002,10002,10002,10002,10002,10002,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,,
,,,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,Sea Food,Sea Food,Sea Food,Sea Food,Beverages,Beverages,Beverages,Beverages,Beverages,,,
,,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,Salmon,Eel,Calamari,,Sumatran Coffee,Mint Tea,Earl Grey Tea,Earl Green Tea,,,,
2013,IV,Oct,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
